RGIId,Loibl_ELA,Loibl_THAR,Loibl_AAR,Loibl_AABR
RGI60-13.00797,5386.732582668378,0.4616103746970518,0.5773262978383404,1.4506408254609795
RGI60-13.00798,5522.706538612759,0.4421377519201599,0.5793427944792845,1.4326313257527103
RGI60-13.00802,5278.789329430373,0.5004026491303225,0.5639434535627363,1.3849816945258295
RGI60-13.00805,5472.894353361262,0.4290629240025224,0.6758991500930402,2.191250591738417
RGI60-13.00806,5497.7082653433135,0.3567777886691713,0.5829403824036917,1.4601901679286562
RGI60-13.00807,5411.736477526341,0.4082972449203704,0.5067155967121166,1.0655329782969356
RGI60-13.00808,5190.211247638037,0.5289720282021775,0.4308702932231414,0.7828647902706056
RGI60-13.00809,5069.625341305089,0.5142552802366669,0.6350624864934513,1.9073005684133395
RGI60-13.00815,5036.647100256674,0.6701025800353752,0.723635834931664,2.8720604084571173
RGI60-13.00816,5218.094476100532,0.4841201989434159,0.533176963517017,1.2022184230986648
RGI60-13.00818,5142.618114169286,0.6802322497361555,0.3674962874907657,0.6190687346376147
RGI60-13.00821,4987.959499380696,0.5986958148069815,0.3569405699991905,0.6211696010272172
RGI60-13.00827,5098.509109235711,0.3647036621565969,0.684974624970623,2.260792026611297
RGI60-13.00828,4868.677696773283,0.4201413710715566,0.6591627754349071,2.1412653689914927
RGI60-13.00830,4847.965774653596,0.5831079024481228,0.5409385459203943,1.30709438624276
RGI60-13.00831,4849.356494107508,0.4755235922385751,0.6197578116116592,1.7318323973593783
RGI60-13.00833,4929.03941744154,0.3523362085848045,0.6262717906936329,1.7980814030280534
RGI60-13.00834,4902.731774878508,0.4925969563857429,0.4922576262578657,1.1420665792033222
RGI60-13.00835,4626.227983672456,0.4603816879276927,0.5391405694173587,1.232770789371381
RGI60-13.00837,5019.56432492392,0.6151555365122322,0.5387028724976219,1.2267453398156805
RGI60-13.00838,4593.39294870615,0.3242781426769408,0.4410170939406497,0.9780985960330572
RGI60-13.00850,4973.070675750112,0.6458629003813605,0.3434877477781267,0.5452258994780335
RGI60-13.00855,5044.283406970269,0.7188036884375689,0.2566228655821189,0.379693834982725
RGI60-13.00858,5238.135910548876,0.7522466370267165,0.3084099106664374,0.4768111851513599
RGI60-13.00859,5310.382932972118,0.7125730933895259,0.4827011563044911,1.016456715143565
RGI60-13.00860,5033.732630362192,0.5071200187801241,0.6164304401484103,1.7573766015530954
RGI60-13.00867,4394.186921684236,0.4785507761958051,0.4991245359736639,1.0984951382611092
RGI60-13.00868,4573.179992126422,0.4206548828399117,0.4545195461394452,0.9129600057234092
RGI60-13.00869,5057.224630687185,0.5619307688559843,0.6058879227900053,1.6483340279379524
RGI60-13.00873,5222.912633154316,0.3396889688922876,0.6298910646372037,1.788320026302691
RGI60-13.00874,4964.781370444865,0.541878510024227,0.6163918432973856,1.7202956823221642
RGI60-13.00877,4999.133954267243,0.5679628937580519,0.3499739594532436,0.5880768512427016
RGI60-13.00879,5056.144191599581,0.5903772201232648,0.5167269869727559,1.122580041708037
RGI60-13.00880,5015.295641172266,0.5774854959662669,0.4634189576089482,0.9203189442917464
RGI60-13.00883,5008.488824662725,0.7495796956283582,0.3539267757415744,0.5669353883690726
RGI60-13.00884,4947.938664047189,0.4989464871718397,0.6077723573312834,1.7969875216886353
RGI60-13.00885,5053.770055867202,0.5166305207794794,0.5440448241015098,1.4176207952783584
RGI60-13.00886,4809.768434319378,0.4265843016247732,0.5847937088080453,1.4703473346933251
