RGIId,n,slope,intercept,r_value,p_value,mad_err,AAR_mean
RGI60-14.07725,17.0,0.08564017558468036,0.40175589786094984,0.18718128938272166,0.4719070253346679,0.11604457778302997,0.3893687101331655
RGI60-14.07730,11.0,-0.06235083916074817,0.8250155889885362,-0.14856528310908193,0.6628694050913182,0.1383430139388051,0.8221224646953516
RGI60-14.07731,15.0,-0.11391271172895776,0.7198025105912056,-0.20488135816150846,0.46387056300930185,0.1509336867392866,0.7089298339307445
RGI60-14.07732,13.0,-0.0020012522052015947,0.8228221962325611,-0.007567301860656864,0.980425832801648,0.07973554874904068,0.8227363867565948
RGI60-14.07735,12.0,0.05554322829327827,0.7146916549464508,0.12334583603990373,0.7025275195717853,0.1413115028700864,0.7165846468033442
RGI60-14.07737,17.0,-0.008777021744596249,0.7052950566738033,-0.022853180451605837,0.930624178567699,0.0991382976664032,0.709584923892354
RGI60-14.07738,13.0,-0.05662647317519371,0.7971090811342948,-0.3112345789703971,0.3006217160757372,0.05213281708436302,0.8281892400077259
RGI60-14.07739,14.0,0.007000498808286546,0.6961442606360407,0.03798141771659479,0.8974298918487342,0.05316841470361768,0.6964059506140787
RGI60-14.07743,12.0,-0.12009755696957765,0.7133059984862589,-0.39264872062295103,0.2067505516048073,0.08895507986452211,0.7209632967111307
RGI60-14.07748,14.0,-0.14648223358294324,0.3891537735115997,-0.258135227292677,0.3729063442117738,0.15826070292890998,0.35101509870227426
RGI60-14.07750,18.0,-0.030965760876972843,0.6527946613935617,-0.09014627170864406,0.7220453059466596,0.08552678975358244,0.6529516278740456
RGI60-14.07752,18.0,-0.02219316097482686,0.6381461513082516,-0.04112802217744905,0.8712805548259164,0.13478877559098545,0.6397530493110231
RGI60-14.07754,15.0,-0.11517205584744339,0.7829514892625267,-0.3065508127711547,0.26644256750447015,0.09918441702838728,0.787887249307389
RGI60-14.07756,18.0,-0.025638747455663732,0.7737321465422408,-0.18244887997608375,0.46869087651433794,0.03454174371767304,0.7771593365525287
RGI60-14.07766,9.0,0.18283455007044622,0.453156769243722,0.3955881593587811,0.29194788212010553,0.1604394200123646,0.43750711970286266
RGI60-14.07769,15.0,-0.032483236549954816,0.8592003199185673,-0.21366284958401294,0.4444992986450603,0.04119191937129349,0.8601173624635826
RGI60-14.07775,11.0,0.0677803172887917,0.8458811008717437,0.21109565542248027,0.533235622847078,0.10461752576133031,0.8494713953241956
RGI60-14.07776,11.0,-0.10589876402616574,0.8481859651190331,-0.46787800256406964,0.14670526822329685,0.06667877260353132,0.8425263022185959
RGI60-14.07779,18.0,0.023867051651413996,0.6981034106001914,0.123029408988595,0.6267180086856654,0.048130228490408544,0.6944875868266814
RGI60-14.07784,14.0,-0.12971058648001546,0.595243625059218,-0.38522734800057407,0.17376573587789756,0.08969856339316887,0.6489184524303563
RGI60-14.07785,8.0,-0.05520414906574119,0.7005315238779315,-0.46636111736671,0.24408795600176336,0.04274821270946399,0.7068286940767272
RGI60-14.07790,10.0,0.36633711696258586,0.5833270587927644,0.6009941355487616,0.06611951574806312,0.17224642050779745,0.5249289598195421
RGI60-14.07791,14.0,-0.07352644937791218,0.7859413466537852,-0.259093512025898,0.371071192332988,0.07912379794034727,0.7900616964313129
RGI60-14.07793,19.0,0.039929946321375254,0.7196934297474032,0.150840001742072,0.5376286565901174,0.0634687543966153,0.7096385128545327
RGI60-14.07800,12.0,-0.06488365657712188,0.852367559513235,-0.33420687991127573,0.2883512966762268,0.05786302982626796,0.8693591672811353
RGI60-14.07807,14.0,-0.19882396785172327,0.6121056062501449,-0.37442274638673345,0.18718726095838487,0.14214007185177932,0.5946032101339872
RGI60-14.07814,17.0,0.1756669936843492,0.6566973309591033,0.47151553461537427,0.05604236151703412,0.08482953226397438,0.6597417484771441
RGI60-14.07817,17.0,-0.072955288368538,0.5978836370977333,-0.17565811972456816,0.5000798412760181,0.10556917443169754,0.6286210542246892
RGI60-14.07818,15.0,-0.03864938727665,0.8576680833656627,-0.19267518049012214,0.49146566732362584,0.0545921760361735,0.8597521808281705
RGI60-14.07821,14.0,-0.02148532801038629,0.7865589422053767,-0.051357616238484755,0.861582559502055,0.12060713535021479,0.7878401252183557
RGI60-14.07822,12.0,-0.042745512161965794,0.792680950467516,-0.1366940732312722,0.6718455958769345,0.09795914798930422,0.7891024849248979
RGI60-14.07825,17.0,-0.12336082345877492,0.6340321077829503,-0.3069669682811292,0.23073892449229208,0.09875276362759125,0.6580547640044923
RGI60-14.07829,11.0,0.03960402281427181,0.8677970614359511,0.25853739170295464,0.4427130227565188,0.04932559958987939,0.8687336566073668
RGI60-14.07831,18.0,-0.008478728312966602,0.6431054296552613,-0.0255640371532518,0.9197978397488058,0.08288946401654229,0.6439896412308687
RGI60-14.07836,14.0,0.14219186875481393,0.7625330068601525,0.22184270602776932,0.4459142266695759,0.1804181941042131,0.780491494027353
RGI60-14.07837,11.0,-0.007924953857155565,0.888643434709663,-0.05029680702068799,0.8832434562908464,0.05245477680575811,0.8891333374696081
RGI60-14.07841,17.0,-0.009731723912576805,0.5782319013503989,-0.028543867873361266,0.9134037070638952,0.08799425815972914,0.5797871953963128
RGI60-14.07845,8.0,-0.29409908261283024,0.3276944908195705,-0.573897140858809,0.13686941395320742,0.17132840858713855,0.3404257426187759
RGI60-14.07846,10.0,0.1397305914690532,0.8358772736988437,0.28793316864409485,0.41981830437225864,0.1643091880278431,0.8541898771823503
RGI60-14.07848,10.0,-0.05052172642093413,0.813095599904021,-0.10966892803054262,0.7629638101662433,0.16189076254529933,0.8047219399728152
RGI60-14.07851,14.0,0.11713772200857991,0.8051813078387715,0.32617310687645484,0.25507065356418757,0.09800139980662881,0.7889650572882638
