glacier_type,temperature_category,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,0,0,737,0.5245379149249787,0.0650378981585703,0.0006490583491198488,763,0.46611752199558804,0.1079774582434373,0.0004818278915069164,729,1.181670687398367,0.33082445251104525,0.003408378172728453
1,2,0,1,542,0.5315924156085268,0.0649524827875243,0.0006635103695030149,571,0.4732250180112079,0.10156308549654293,0.0006041431679324956,527,1.203572480835227,0.3184512194282758,0.0037398856940696703
1,2,0,2,307,0.5395457771016353,0.06666763492178739,0.0007815240260061379,325,0.48258861406621273,0.10656415356335176,0.0007761519352230621,304,1.2543503717921523,0.3490617453066881,0.005033041477084782
1,2,1,0,3690,0.5175138639476857,0.05677556699164674,0.0002025570622691234,3782,0.4842912506853229,0.09707238956663028,0.00013867270581034117,3682,1.1740478571764268,0.2995874405994276,0.000901177390114398
1,2,1,1,3028,0.5112471606401612,0.0577917440573957,0.00017679001850269348,3091,0.4850541718306906,0.094835017168432,0.00014562701791800351,3038,1.1441104821423689,0.2980757203139588,0.0008367715703753076
1,2,1,2,1620,0.5148074377525126,0.05945949439511436,0.00023546463292275856,1678,0.49889631454212885,0.09491937793699239,0.0002156762732266978,1636,1.1496396323979499,0.30641754768367707,0.0011757091398320975
1,2,2,0,6786,0.5327239230114631,0.05998267982438984,0.00011822643240911565,6951,0.5056283458967679,0.10671428125765657,8.932833239382619e-05,6446,1.2716870869700834,0.33510000875092283,0.0006124117762747717
1,2,2,1,7539,0.5292395404217874,0.056926272391664576,8.422129590287788e-05,7644,0.5166080793784219,0.09971330842535632,6.84036341330563e-05,7372,1.2653136322983776,0.31509943919603933,0.00045665606700917983
1,2,2,2,5319,0.524417910203535,0.05603829828776944,9.915411450133098e-05,5389,0.5153344000636972,0.0944167367316103,8.818405491185803e-05,5250,1.2216927582325419,0.2973024962406365,0.000525028241738493
2,0,0,0,927,0.6015860117856068,0.05842701102503394,0.0009420694892651845,1198,0.5649936503059674,0.11480457134891975,0.0008035725459780482,675,1.6380470072215816,0.3295542638386064,0.00746500097415586
2,0,0,1,168,0.6211916362795964,0.050323769484195424,0.002780167000413799,263,0.512001847128527,0.10617004996789696,0.002192657349671694,122,1.7302272507691632,0.29151796718781803,0.022747615106454584
