RGIId,wgms_ELA,wgms_THAR,wgms_AAR,wgms_AABR,CenLon,CenLat,compile_AAR,intercept_AAR,steady_AAR,compile_ELA,intercept_ELA,steady_ELA,compile_THAR,intercept_THAR,steady_THAR,compile_AABR,intercept_AABR,steady_AABR
RGI60-11.00002,2515.1208995904303,0.4836012926795419,0.5912730090179494,1.5594276771694555,13.6135,47.4845,0.5320998718252485,0.5320998718252485,0.5320998718252485,2534.228574669168,2534.228574669168,2534.228574669168,0.5156737125047014,0.5156737125047014,0.5156737125047014,1.224589753699182,1.224589753699182,1.224589753699182
RGI60-11.00080,2782.0632588907756,0.5805797278748704,0.5726011990189792,1.4322555403295465,12.5964,47.1316,0.5726011990189792,0.5726011990189792,0.5726011990189792,2782.063258890776,2782.063258890776,2782.063258890776,0.5805797278748704,0.5805797278748704,0.5805797278748704,1.4322555403295465,1.4322555403295465,1.4322555403295465
RGI60-11.00106,2269.9200192437183,0.1141126658066163,0.915759882461746,14.463548959285346,12.6967,47.0991,0.6777354748248702,0.6777354748248702,0.6777354748248702,2842.560101902476,2842.560101902476,2842.560101902476,0.5569092321306767,0.5569092321306767,0.5569092321306767,2.677630562910681,2.677630562910681,2.677630562910681
RGI60-11.00190,3158.731058101333,0.676632422838829,0.4294725024915696,0.8250527711722871,12.3784,47.0851,0.5522593965455123,0.5522593965455123,0.5522593965455123,3086.351796858909,3086.351796858909,3086.351796858909,0.5770509312099337,0.5770509312099337,0.5770509312099337,1.356344393423027,1.356344393423027,1.356344393423027
RGI60-11.00251,2844.9450460781136,0.3982491279458886,0.5854220659818846,1.461859419987906,12.9472,47.053,0.4705618942201442,0.4705618942201442,0.4705618942201442,2860.27803655468,2860.27803655468,2860.27803655468,0.455491022508945,0.455491022508945,0.455491022508945,0.9207495053981763,0.9207495053981763,0.9207495053981763
RGI60-11.00289,2659.006650308005,0.76935724768033,0.4737840439193585,0.955042402549503,12.9702,47.0421,0.6649229487758964,0.6649229487758964,0.6649229487758964,2623.096684594515,2623.096684594515,2623.096684594515,0.6631844894856336,0.6631844894856336,0.6631844894856336,2.143767944111817,2.143767944111817,2.143767944111817
RGI60-11.00300,2634.7142651550093,0.5594862014429061,0.394451192998059,0.6682260883634978,13.0049,47.0385,0.5238713657754337,0.5238713657754337,0.5238713657754337,2620.8935242885486,2620.8935242885486,2620.8935242885486,0.4707384546523905,0.4707384546523905,0.4707384546523905,1.1284912782023502,1.1284912782023502,1.1284912782023502
RGI60-11.00597,3040.202021628281,0.567030926674838,0.4475625592227147,0.8931143548271203,11.1832,46.9514,0.5199226988584102,0.5199226988584102,0.5199226988584102,3003.5825024095966,3003.5825024095966,3003.5825024095966,0.5215160662478814,0.5215160662478814,0.5215160662478814,1.19485813608175,1.19485813608175,1.19485813608175
RGI60-11.00603,2800.785877065218,0.4689804840635767,0.4658527208585952,0.9098816980502628,11.2247,46.9656,0.4658527208585952,0.4658527208585952,0.4658527208585952,2800.785877065218,2800.785877065218,2800.785877065218,0.4689804840635767,0.4689804840635767,0.4689804840635767,0.9098816980502628,0.9098816980502628,0.9098816980502628
RGI60-11.00647,2996.4216937075985,0.6645131607278327,0.4923176310537283,1.0393785681479055,12.0965,46.9069,0.5450389776097982,0.5450389776097982,0.5450389776097982,2976.7662644975394,2976.7662644975394,2976.7662644975394,0.627980841098222,0.627980841098222,0.627980841098222,1.2853036320566051,1.2853036320566051,1.2853036320566051
